Numbers,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population
1,Afghanistan,2004,Developing,57,293,87,0.02,15.29606643,67,466,13.8,120,5,8.79,5,0.1,219.1413528,24118979
2,Albania,2004,Developing,73,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,326939
3,Algeria,2004,Developing,72.3,14,19,0.45,220.393699,81,3289,47.9,23,86,3.54,86,0.1,2598.9823,3283196
4,Angola,2004,Developing,47.1,386,94,3.53,8.8667775,NA,29,17.2,152,4,4.71,4,2.5,141.86844,18865716
5,Antigua and Barbuda,2004,Developing,74.4,149,,7.28,22.86295206,97,,4.8,,97,4.21,97,0.1,1352.8374,NA
6,Argentina,2004,Developing,74.7,13,11,7.63,719.3663797,81,,56.3,12,91,6.84,98,0.1,4251.574348,38728696
7,Armenia,2004,Developing,73,132,1,3.81,97.74087744,91,1783,48.4,1,93,5.5,91,0.1,1191.96192,3612
8,Australia,2004,Developed,86,69,1,9.84,588.568371,95,70,6.9,1,92,8.57,92,0.1,3472.37977,21274
9,Austria,2004,Developed,79.3,86,,12.1,5316.877456,83,15,52.2,,83,1.56,83,0.1,36693.4262,8171966
10,Azerbaijan,2004,Developing,68.4,154,6,0.62,8.59680496,5,827,44.2,8,78,7.92,77,0.1,145.2163,8365
11,Bahamas,2004,Developing,73.8,174,,10.1,,93,,57.4,,92,6.2,93,0.1,NA,NA
12,Bahrain,2004,Developing,75.2,83,,2.16,1380.228095,98,11,55.6,,98,3.37,98,0.1,15846.47641,NA
13,Bangladesh,2004,Developing,67.3,158,185,0.01,4.11469667,11,9743,12,247,88,2.62,99,0.1,46.7579167,14137489
14,Barbados,2004,Developing,73.8,119,,7.68,166.0083443,93,,46.2,,93,5.71,93,0.2,12868.8639,NA
15,Belarus,2004,Developing,68.2,247,1,12.05,42.33443901,99,2,56.2,1,99,6.59,99,0.1,2378.33927,973146
16,Belgium,2004,Developed,78.8,91,1,12.05,5160.508378,64,61,59.8,1,96,9.32,95,0.1,35589.71295,1421137
17,Belize,2004,Developing,68.7,197,,6.2,325.6807462,97,,43.2,,97,4.39,97,0.8,3831.53819,27689
18,Benin,2004,Developing,56.1,285,25,1.15,10.73628066,75,262,2.1,39,74,4.56,72,2.1,583.493514,7754
19,Bhutan,2004,Developing,64.2,263,1,0.96,2.586698228,89,3,16.1,1,9,4.41,89,0.3,197.45788,64282
20,Bolivia (Plurinational State of),2004,Developing,65.1,226,12,2.66,,84,,45.4,16,84,5.22,84,0.2,NA,NA
21,Bosnia and Herzegovina,2004,Developing,75.5,99,,4.25,3.479918859,36,28,49.9,,87,9.4,84,0.1,265.642661,3781287
22,Botswana,2004,Developing,48.1,652,2,4.9,469.5823898,91,1,32.2,4,96,5.56,96,28.4,4896.583835,182933
23,Brazil,2004,Developing,72,17,81,6.85,186.6090485,96,,46.9,93,99,7.7,99,0.1,3623.47667,184738458
24,Brunei Darussalam,2004,Developing,76.4,89,,0.11,1504.30004,99,16,3.1,,92,3.1,92,0.1,21896.6527,NA
25,Bulgaria,2004,Developed,72.2,157,1,10.96,384.1473028,94,,59.1,1,94,7.9,95,0.1,3381.57837,771686
26,Burkina Faso,2004,Developing,52.4,323,49,4.54,56.96108089,NA,77,13.7,91,83,6.45,79,2.5,371.323865,133569
27,Burundi,2004,Developing,52.6,378,24,5.72,11.22655347,83,2,13.8,38,76,7.1,83,4.8,127.4296648,7182451
28,Côte d'Ivoire,2004,Developing,48.2,472,64,3.08,,67,3466,21.5,91,76,5.24,67,6.5,NA,NA
29,Cabo Verde,2004,Developing,71.4,14,,4.19,240.139715,91,,23.7,,94,5.6,93,0.8,1976.45856,467664
30,Cambodia,2004,Developing,61.5,253,19,1.38,8.38611924,NA,352,13.5,24,86,6.43,85,1.7,48.615184,1363377
31,Cameroon,2004,Developing,52.1,412,59,4.71,7.177302132,NA,358,22.8,94,72,4.73,73,7.5,93.211716,1695981
32,Canada,2004,Developing,80,77,2,7.8,5513.329924,14,7,6.6,2,91,9.56,91,0.1,31979.87195,31995
33,Central African Republic,2004,Developing,45.7,512,17,1.5,41.50111735,NA,1233,17.9,26,45,4.1,51,12,313.21598,45536
34,Chad,2004,Developing,48.5,45,44,0.34,72.38451279,NA,10324,15.1,78,31,5.72,21,5.2,454.6765879,97143
35,Chile,2004,Developing,78,97,2,6.32,78.78564878,NA,,56.8,2,94,6.93,93,0.1,621.828325,15973778
36,China,2004,Developing,73.5,11,360,3.04,1.58668462,79,70549,23.4,427,87,4.72,87,0.1,158.668462,129675
37,Colombia,2004,Developing,72.8,148,16,4.26,42.17956418,89,,49.8,19,89,5.37,89,0.1,274.249442,42724163
38,Comoros,2004,Developing,59.8,269,2,0.27,7.212110766,77,,18.8,2,73,3.96,76,0.1,616.4197236,597228
39,Congo,2004,Developing,54.1,48,9,2.58,,NA,3524,21.2,13,67,2.56,67,6.3,NA,NA
40,Costa Rica,2004,Developing,77.7,12,1,4.09,1043.10795,89,,49.3,1,9,7.8,9,0.1,4425.57467,418738
41,Croatia,2004,Developed,75.4,114,,13.11,1116.396502,NA,54,56.9,,96,6.56,96,0.1,9365.742468,4439
42,Cuba,2004,Developing,77.3,17,1,4.38,4.484254579,99,,53,1,98,6.14,88,0.1,339.716256,NA
